Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.05050140793966418;-0.4678286243782098;-0.017519633079325615
2;-0.10597616518300215;-0.9494322805984863;-0.012117545237925706
3;-0.16002371907566412;-1.4533809018763062;-0.002614827134763578
4;-0.2134353491435707;-1.9914481972997595;-0.027817668009114272
5;-0.24981849665044073;-2.564839123079665;-0.04998184168726993
6;-0.279358003681271;-3.1990993213010968;-0.057878422732348556
7;-0.33147340216624616;-3.872773942916038;-0.07323475967988534
8;-0.3875888808972404;-4.574819877279923;-0.09822692649642431
9;-0.4521398420120386;-5.277759380677389;-0.12187880003506694
10;-0.49987330599945035;-6.010817212901572;-0.136734840218845
11;-0.5594747555945498;-6.788476821506393;-0.17091962757066143
12;-0.6188015105877238;-7.64072210794094;-0.19350402563651564
13;-0.6787342653104558;-8.489132845605848;-0.2373322539207213
14;-0.7409563469174472;-9.341679335440293;-0.2544193524687513
15;-0.8064596570569547;-10.26763914441106;-0.25623726606854097
16;-0.8838445652058677;-11.224700803836772;-0.2914070042174247
17;-0.9719642196683068;-12.233564787567577;-0.30773598538671637
18;-1.0697908060983476;-13.272899672532668;-0.3082422387316668
19;-1.1866398602890522;-14.369640484758772;-0.2999621698247961
20;-1.2873526606393038;-15.47478954277381;-0.32634695147889564
21;-1.3703387781077976;-16.64989734305417;-0.3980663111957944
22;-1.4515525141151615;-17.89507815765747;-0.4433389101476742
23;-1.563130434355394;-19.18483326364958;-0.4576772240962682
24;-1.6777121311306846;-20.526780501181502;-0.49927390446674647
25;-1.7828275667246085;-21.94815339560568;-0.5071350547244239
26;-1.8515559363057545;-23.39349151731645;-0.48750484710877623
27;-1.9453770804188633;-24.876300545393953;-0.4737021067255279
28;-2.0528131398898246;-26.444801845980873;-0.49211703971075565
29;-2.1628556552586256;-28.042187498418294;-0.5452899188481473
30;-2.248468976662847;-29.693576116145312;-0.5872688790937856
31;-2.3412749778051976;-31.39859714358069;-0.63936236164534
32;-2.426686821173428;-33.148081567499965;-0.6764927854825883
33;-2.506853435699735;-34.92468941025047;-0.6983765313165033
34;-2.5844662026563654;-36.73553038721982;-0.7405964300946302
35;-2.683730178888676;-38.5750139638153;-0.7577403145815866
36;-2.8089873345760434;-40.430988585776376;-0.7826650960565902
37;-2.9133543186750894;-42.317800024425665;-0.8283271644149904
38;-2.9835900241129876;-44.25612663004961;-0.8664208499073901
39;-3.079379367382635;-46.206734495525055;-0.8776947605381835
40;-3.203324641717232;-48.18261610694181;-0.8992627462847871
41;-3.300143584983508;-50.15280094153558;-0.9578724999200748
42;-3.383973810529355;-52.154801235098105;-0.9874885226663601
43;-3.465201696174126;-54.221152126333415;-1.025537746088005
