Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.34485420076087564;-0.07945198234299829;0.3491069284057963
2;-0.7034502338499866;-0.1459660490985119;0.7260938279292818
3;-1.1064229263278473;-0.19256209567002078;1.1608006506229127
4;-1.5164067084021582;-0.23680503871449532;1.597411926681829
5;-1.943482097090875;-0.29437248806387617;2.035337717880617
6;-2.439296067668509;-0.3589876102879672;2.5105582136060467
7;-2.9885121036745574;-0.4220753922306289;3.0235627210887692
8;-3.527177973163054;-0.4728298718281628;3.526280712584977
9;-4.107968424928786;-0.5693619458683418;4.056426079222133
10;-4.68292567082645;-0.7072094514420609;4.573829040995073
11;-5.295722830163154;-0.8562715904398015;5.111652471611225
12;-5.944886065636983;-1.0482810279694519;5.669188514537635
13;-6.65189959734536;-1.3051431919907268;6.2971937759437795
14;-7.414110350046571;-1.5627196401601322;6.916676800694418
15;-8.222288123228967;-1.8272141799221788;7.531857868791999
16;-9.089499986460874;-2.1573633526232814;8.19883122842454
17;-10.02539668102831;-2.522632769986158;8.878253322324836
18;-11.035993013994782;-2.9178970597604112;9.61927392698322
19;-12.074007105598733;-3.377870161663033;10.432236210287563
20;-13.174096524998829;-3.864781901925465;11.283863776352261
21;-14.325508270995753;-4.331095984369337;12.16330841789086
22;-15.571868229095093;-4.81620983967938;13.046352697272395
23;-16.881285057904197;-5.34206501240217;13.94424285522282
24;-18.200806857088107;-5.916489552229883;14.867140637348752
25;-19.535818353060915;-6.512905468654144;15.775455403686829
26;-21.025834619840282;-7.148690439306777;16.736296454606066
27;-22.622197840398343;-7.894065759598994;17.75596692238422
28;-24.284633866414023;-8.673465917334005;18.779739207991256
29;-26.010339547984625;-9.460366723352879;19.82015870885948
30;-27.83326091701274;-10.314487030282535;20.89886699167667
31;-29.72695609053797;-11.238799769398286;21.945808407771057
32;-31.685498318212108;-12.184014893521661;22.940714667349294
33;-33.73336899999598;-13.203582494826682;23.951287040378038
34;-35.869276868823704;-14.292451835332784;24.99734538734515
35;-38.079538499906846;-15.389699454226033;25.972772626037894
36;-40.37631279173826;-16.497498590037733;26.992495243362626
37;-42.81598434822086;-17.697992808198865;28.04866645088121
38;-45.409783655535215;-18.945117813624456;29.181858864250163
39;-48.0483359560122;-20.220174269364104;30.26584733138385
40;-50.75693890305886;-21.53932242574143;31.260262715024265
41;-53.56623066044349;-22.872867079389952;32.21178976868554
42;-56.44447902488961;-24.230151515529418;33.12406956422871
43;-59.35488147486898;-25.635812826931314;34.00034735361746
44;-62.3710252793789;-27.069913792663584;34.93384667576722
45;-65.52795585111522;-28.505511458622966;35.92242879231322
46;-68.82012197085083;-30.033596125331343;36.922138517131856
47;-72.1684448205077;-31.608314076121612;37.91369907121523
48;-75.5586651217153;-33.17258589647711;38.74294696511021
49;-78.99768773853795;-34.80195806120975;39.545975032662945
50;-82.53368580120726;-36.5004852587239;40.371434662894366
51;-86.13632290934903;-38.16724727938535;41.178033969068785
52;-89.78032740024658;-39.90596209490693;41.96760827072873
53;-93.47869223233556;-41.63530565590719;42.69727868051401
54;-97.2425394290492;-43.41706901479936;43.39735423043732
55;-101.05376557003073;-45.235860866960685;44.017481198719956
56;-104.91939945161147;-47.08094759013644;44.6168408155965
57;-108.85914954608664;-48.940053726667394;45.21519727292729
58;-112.85704785149248;-50.823187756377514;45.84756533854476
59;-116.88439722843509;-52.72342715130395;46.38578626414548
60;-120.94548284572431;-54.668295513977704;46.81315465609918
61;-125.06995287957342;-56.63395797576805;47.226607497580595
62;-129.20040124079196;-58.568840340893274;47.52603581692517
63;-133.4066614841953;-60.555170769578105;47.83265410244849
64;-137.6809172991558;-62.58633098197962;48.13776760780832
65;-141.9568964008155;-64.639743375979;48.44084098602473
66;-146.29459637344127;-66.71175087257596;48.6722407134208
67;-150.66675343744376;-68.78347072626863;48.87452343293547
68;-155.03386709765093;-70.86354061450419;48.95906643709255
69;-159.43272027067673;-72.95259465588971;49.04087529172932
70;-163.8623086837478;-75.01055554002444;49.11652014495396
71;-168.28131876927333;-77.06331782233252;49.07791922404247
72;-172.74631176093624;-79.14722010507208;49.05744631660326
73;-177.2183869780462;-81.26468639338438;48.979523815871374
74;-181.672255778346;-83.39594420095703;48.82673849077684
75;-186.10250649876434;-85.50694489078353;48.65135212303426
76;-190.55512721141045;-87.60015491155843;48.498927569134565
77;-195.04710567453955;-89.6653648347185;48.33970415799458
78;-199.5266683004412;-91.74262726657076;48.05880421988936
79;-203.93714771159216;-93.82098498671179;47.77102457819197
80;-208.32114313231412;-95.87013531081652;47.43577138164554
81;-212.72970420212968;-97.90663901014831;47.166757973695375
82;-217.09293103332104;-99.99689545035791;46.812698837784176
83;-221.48146315490337;-102.0435078728779;46.45932180699459
84;-225.7650232427297;-104.09881615381244;46.01070576583589
85;-230.04353525113098;-106.0859456027871;45.49875635367574
86;-234.31740523229095;-108.0320649306825;44.9901977125692
87;-238.53259315367322;-109.97495274977462;44.44324338698621
88;-242.6631573985525;-111.87315484830846;43.941300637088865
89;-246.6856905544474;-113.79831203429465;43.25585656277959
90;-250.675108392672;-115.66957365042988;42.58183679953831
91;-254.6593750995553;-117.49395962354255;41.96440169958052
92;-258.58511719092894;-119.31462927502417;41.31688820784893
93;-262.39533625387344;-121.0998304661124;40.59013896431694
94;-266.07775283297866;-122.85878453547538;39.772507831845836
95;-269.7357630889787;-124.61180582705815;39.095937784450705
96;-273.2825889657592;-126.27989390107791;38.25424515670013
97;-276.79291058308087;-127.90580516549836;37.45877264106216
98;-280.21266556970204;-129.52609214940546;36.67799047362596
99;-283.5680005837126;-131.1236124448325;35.92918725858407
100;-286.82384768398896;-132.6713222048889;35.170756333795474
101;-289.94253850871485;-134.1615543426561;34.3677570395639
102;-292.98587805527546;-135.61307161078358;33.51513709770716
103;-296.0364054406709;-137.0476303501355;32.73833481380242
104;-298.9448545234122;-138.46463307967133;31.955545118046718
105;-301.7491279349921;-139.81191765568101;31.126735185982426
106;-304.45288244333693;-141.07356230609238;30.246977617591842
107;-307.07573683764036;-142.39366880508715;29.44840968969722
108;-309.5851466354854;-143.6614373983058;28.560540533756452
109;-312.05826609155156;-144.9073843937345;27.787848142338305
110;-314.4307495919558;-146.0865316902599;26.92897323249569
111;-316.70445224457967;-147.22941084658365;26.002434779018206
112;-318.87306399270454;-148.31833064618388;25.257247679497542
113;-321.0309742832598;-149.42764428374707;24.44295494494015
114;-323.0162140556051;-150.48824225431204;23.57079107485554
115;-324.9279308549661;-151.50251627622663;22.669383715944672
116;-326.76902545470034;-152.49716080470736;21.82749169728548
117;-328.5570961770923;-153.4417978073602;21.041398119714653
118;-330.2665567265294;-154.34814903174285;20.20629324575083
119;-331.8855299251873;-155.2340318381597;19.245345953011853
120;-333.3898885083666;-156.1253370292881;18.415274660561508
121;-334.90087909022253;-156.93190501038853;17.652296319250805
122;-336.3037775835276;-157.73074261530894;16.78558841608925
123;-337.6200993155574;-158.51641868462073;15.879267857267799
124;-338.86117300348565;-159.2422832600801;14.954982023260849
125;-340.08008868297514;-159.90662182267258;14.065069729157289
126;-341.2607000598686;-160.56768407859636;13.186352549209834
127;-342.3317325986434;-161.2039764929556;12.29597127586468
128;-343.35319732525664;-161.8396485447363;11.445738722139781
129;-344.3362449727033;-162.45137254900962;10.627638781886128
130;-345.25843932475686;-162.973073749144;9.754904612404923
131;-346.0672640682915;-163.4488263227879;8.869312489452719
132;-346.84303533172397;-163.8899507966905;7.872700972165401
133;-347.59860891993867;-164.32035408479965;7.015738421653281
134;-348.35473533997623;-164.759027780618;6.251253186121223
135;-349.0670281938255;-165.15423254515122;5.433755462863981
136;-349.68583538656503;-165.495076403124;4.544166344868065
137;-350.2429246597585;-165.81359405252417;3.631993999033822
138;-350.8314758666667;-166.124176;2.7706511333333323
