Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;0.00043748806799242683;-0.8575436704970908;-0.14672967380348892
2;-0.004943833093080417;-1.8069679919665758;-0.1234613567331132
3;-0.06945898113692751;-2.8065566126973303;-0.11355283348179213
4;-0.11954424424190117;-3.81021119181932;-0.17280383550879175
5;-0.15920530251055445;-4.812818245403462;-0.2728381491386482
6;-0.2008262808082262;-5.868250093153262;-0.314445475855697
7;-0.2568788801141834;-6.964682868727906;-0.24196949144753235
8;-0.3269295688033833;-8.085189215990392;-0.21414319328005674
9;-0.41066122010554307;-9.162250842582191;-0.25625148465364916
10;-0.4792887525760008;-10.333292569467122;-0.28895378027424895
11;-0.522212777355688;-11.45439336379735;-0.35171994795253325
12;-0.6196673375749892;-12.627094026807287;-0.2766005056364343
13;-0.6919351220929554;-13.78165778077593;-0.2863697485757239
14;-0.7367043847236475;-14.998212862884541;-0.3156208880452468
15;-0.8078426949806802;-16.233816528338632;-0.3422655830638664
16;-0.8806962692201988;-17.488505625348235;-0.34209266280719025
17;-0.9542256228296099;-18.767485770345534;-0.31354936934130867
18;-1.0283706219610877;-20.0525221477978;-0.311236724223196
19;-1.119211602319225;-21.39811710621517;-0.3298821457416951
20;-1.2094176477784704;-22.671212801855905;-0.3915523193181134
21;-1.286798183988231;-24.006675581911225;-0.4064434413023283
22;-1.3389578719335287;-25.42728672801695;-0.47101631161348717
23;-1.4133493766211878;-26.867727965601173;-0.38560757099453324
24;-1.5012739003216184;-28.266942208884547;-0.4036533549401649
25;-1.5791523857785155;-29.811156511079336;-0.47164641940677704
26;-1.702698473587609;-31.340710618146556;-0.4879392573624961
27;-1.8108112300803787;-32.95814118577297;-0.46620236730625475
28;-1.9085715434915171;-34.58106416692199;-0.5673596156225436
29;-1.997881126048048;-36.22758540537455;-0.6483984293320041
30;-2.130530748921299;-38.0104035948956;-0.6220100296459825
31;-2.2623327040961505;-39.8336201093311;-0.578408912007235
32;-2.4074639883069575;-41.6384875903703;-0.563137592199313
33;-2.516304746521986;-43.47455260145943;-0.6304859455772538
34;-2.631550641520175;-45.40756310870336;-0.6473913611100249
35;-2.7842371181118346;-47.373467603297144;-0.63281471569833
36;-2.83738811539202;-49.27432816967866;-0.739450807734164
37;-2.9638755644870645;-51.312096256692136;-0.7561901430675771
38;-3.0587190297252818;-53.34029920849017;-0.7397072293298095
39;-3.1369393573200774;-55.4038525489376;-0.7090457925379079
40;-3.262897272558234;-57.50837063120678;-0.7547829802577571
41;-3.3655160897513565;-59.64468279827025;-0.7902359672717565
42;-3.389570529644692;-61.80049689311545;-0.8344376017759552
43;-3.443485981167278;-63.908650777569925;-0.968389015108785
44;-3.5256385006817297;-66.09283982462742;-0.9993902087190868
45;-3.5526236032476173;-68.26555234684398;-1.0114781558484192
46;-3.6243155457616236;-70.444759118301;-1.0130101896450558
47;-3.715712220538063;-72.58502106072831;-0.9988721478057764
48;-3.771041567718985;-74.75304841729793;-1.072686391674166
49;-3.810187726549911;-76.96226646243817;-1.0586460476897253
50;-3.883132925112348;-79.09271026762839;-1.1722208427194112
51;-4.013185830481764;-81.18733600901969;-1.2017437442727337
52;-4.083800716582322;-83.34303597022723;-1.1805568256831291
53;-4.136393855049822;-85.48738019243591;-1.1892200200262149
54;-4.223279195107282;-87.63875870690849;-1.1676253163400405
55;-4.318818328378383;-89.72296107150942;-1.2161206870646568
56;-4.385459597978862;-91.79777725098462;-1.3185984447844261
57;-4.424611134277121;-93.86244909894326;-1.3665989576729913
58;-4.4651129801541485;-95.97984219040733;-1.3247527436437896
59;-4.573947349668536;-98.01982271861563;-1.3291364734617142
60;-4.616927833463343;-100.08106801661751;-1.4141937005798697
61;-4.669174346729364;-102.18254517372726;-1.461342687969073
62;-4.693796301424329;-104.24064389872377;-1.3969319569401124
63;-4.748519669997404;-106.21760826041577;-1.4118112110616066
64;-4.771181374584391;-108.1779623621444;-1.5012225065569014
65;-4.802385624468421;-110.18544873522433;-1.5104486292657977
66;-4.831055512578064;-112.16814802627732;-1.467524760237043
67;-4.892220748716347;-114.09040634355404;-1.476577610645773
68;-4.954803581946321;-115.96111794804774;-1.5558873247668321
69;-5.045572152214723;-117.80646178223869;-1.565176729701486
70;-5.125772145972213;-119.61355532875338;-1.5685969608592794
71;-5.186338461772405;-121.3858006906623;-1.668609154059249
72;-5.223305046683509;-123.09600324604514;-1.7454130659729932
73;-5.28029666047832;-124.83960485496033;-1.759610792264901
74;-5.36557731082652;-126.55707525222634;-1.7726233438810788
75;-5.4532606067308125;-128.19371688365484;-1.7783883847110837
76;-5.522125508687453;-129.835068022285;-1.7624987534593215
77;-5.61083370305943;-131.45361063400654;-1.7912577579535993
78;-5.702414679152144;-132.996231650395;-1.7726102417836855
79;-5.772251184106383;-134.48368460617067;-1.767915101900721
80;-5.824729381483418;-135.94629390092675;-1.833259366503533
81;-5.915211269468675;-137.36280577259524;-1.82817487288301
82;-6.002216080637409;-138.7978600575062;-1.818733286542378
83;-6.104904930073698;-140.18890613767056;-1.9041279632291257
84;-6.204402650604433;-141.53429552424535;-1.913968991354887
85;-6.259842088331749;-142.87001615793832;-1.9251515287973264
86;-6.35583763848938;-144.15603489899303;-1.898722641286317
87;-6.453229619591066;-145.4541386666647;-1.8788464569703553
88;-6.5378993016042815;-146.73105945536642;-1.8459827957513415
89;-6.637215083314793;-147.89865956291317;-1.868190224933329
90;-6.7303450528441795;-149.0124361952277;-1.9141816663670996
91;-6.820761503075889;-150.06305398127247;-1.9583516228362032
92;-6.96003911922363;-151.10009407047423;-1.9370838742878884
93;-7.147262623849876;-152.0704191334847;-2.0148819308103367
94;-7.315624662733733;-153.02950121467066;-1.9938866365433168
95;-7.491436289862382;-153.9346262121098;-1.9419234629213469
96;-7.6653331911375515;-154.75832701466342;-1.9543423936317597
97;-7.839549306142163;-155.53824614125946;-1.961073024109696
98;-8.031503515491382;-156.27138863455377;-1.972549773013128
99;-8.251902004698909;-156.94258005808206;-1.985955206695847
100;-8.48889323356845;-157.5486928914261;-2.027389009806064
101;-8.746141887335403;-158.08843915557262;-2.0781970036547563
102;-9.002382395634655;-158.5112583619736;-2.1350503648116144
103;-9.288788558180993;-158.85990921996907;-2.1503510841314433
104;-9.625592231418386;-159.1857685948397;-2.125719494797654
105;-9.98170088962995;-159.45979542520902;-2.132582689983548
106;-10.361459825538008;-159.66131778493417;-2.1279211546971877
107;-10.746082167010448;-159.7891482957259;-2.1311815242081695
108;-11.158988404794274;-159.84091807222373;-2.103340166292209
109;-11.617008162118836;-159.87371565606313;-2.1316082409474335
110;-12.126762371432717;-159.7744522690405;-2.2128079659036097
111;-12.622334852395406;-159.67289541183047;-2.205388462852685
112;-13.086101287549766;-159.50759445802342;-2.182527654230368
113;-13.60252826999555;-159.19785146127762;-2.256368596418706
114;-14.174777755995736;-158.86655305260706;-2.3386256950302458
115;-14.745671698559605;-158.50880228703514;-2.377437120653441
116;-15.290438225149396;-158.14178330257977;-2.329763697717006
117;-15.873687293717955;-157.73741028833476;-2.2908284682164246
118;-16.480907235334893;-157.17408394232106;-2.25542283134919
119;-17.118854962438323;-156.5897205809723;-2.3030341509505767
120;-17.768828403854727;-155.93817449186324;-2.334552879119499
121;-18.42236984761269;-155.23085755726404;-2.3228098194903883
122;-19.110272501893277;-154.43390027941822;-2.306621067689909
123;-19.816629199454923;-153.62538581640072;-2.2658347076219187
124;-20.491598165339152;-152.75032835784845;-2.3143555443992985
125;-21.23088205454741;-151.80744859829187;-2.420762306012645
126;-21.984741319662792;-150.8185112942354;-2.4668873096898127
127;-22.748324219921567;-149.8145515825353;-2.406192377504736
128;-23.52278925946335;-148.83097261742884;-2.3102932345114238
129;-24.306087758761773;-147.71842072646294;-2.3395489595900165
130;-25.065337494411676;-146.52894676011078;-2.472388241936027
131;-25.893066535882994;-145.3428709892472;-2.494189130195855
132;-26.71005369081747;-144.1593400914989;-2.4214991418598215
133;-27.50526713423201;-142.97987177393017;-2.35167315431774
134;-28.331755736256724;-141.66588935874327;-2.3647380773159568
135;-29.16983571740124;-140.32749345179204;-2.4018809393917624
136;-30.056631949547068;-138.9351617029165;-2.42998564159995
137;-30.943518030765215;-137.54565631583736;-2.4032427756310084
138;-31.862500248741245;-136.1925660573335;-2.3872689821056174
139;-32.79220983339215;-134.70370522612617;-2.4132874107654416
140;-33.71386937747594;-133.22886267563794;-2.44023433058762
141;-34.692636917623545;-131.71486275099872;-2.4215874659740324
142;-35.67028880757323;-130.14273739010045;-2.4353006316081145
143;-36.656045075428864;-128.5922261732389;-2.420917009566423
144;-37.66001802142389;-126.99644403781173;-2.391011969869361
145;-38.668996449864935;-125.40040919020885;-2.4329831448933326
146;-39.648792528537655;-123.78376547426456;-2.3998488184732563
147;-40.63003506063347;-122.17322354590912;-2.359174431090102
148;-41.6870218471569;-120.57781242300133;-2.3959388549490765
149;-42.669865133351806;-118.93223180297646;-2.416842299901982
150;-43.71755979742074;-117.27249583799778;-2.452587503095058
151;-44.74931586472618;-115.5646984467622;-2.5174483707562154
152;-45.824783301613614;-113.94769949439608;-2.4945042348949262
153;-46.889978990574036;-112.28384012504871;-2.4735084742185722
154;-47.915402067888955;-110.54552575864697;-2.573381572929973
155;-48.99116662604069;-108.89662265042902;-2.622573414161117
156;-50.06983464854034;-107.20781128280483;-2.623491178662294
157;-51.12073786612951;-105.54495878194093;-2.638473638155579
158;-52.18661583344414;-103.82395308826365;-2.614232171620109
159;-53.273788775564924;-102.09088724225244;-2.6312818818767623
160;-54.32382927317578;-100.43417698424626;-2.590920044237491
161;-55.44283547883322;-98.73522785332949;-2.515886872317935
162;-56.544642047293934;-97.02831134410165;-2.470383259678733
163;-57.58786373585887;-95.3677876971359;-2.5248965420883467
164;-58.69338018011485;-93.665660651771;-2.5401364834244617
165;-59.75040463491791;-92.01532080009672;-2.483106607446438
166;-60.79915694784007;-90.30823357734589;-2.5342927637927293
167;-61.917402338835;-88.63420647104057;-2.5911969316206953
168;-62.98012491005071;-86.95718323384612;-2.6238532184093852
169;-64.01986158717322;-85.33469948931595;-2.658641918560697
170;-65.03486817296796;-83.66894015663136;-2.619213706594698
171;-66.10424261381401;-82.01121075536496;-2.589666479413971
172;-67.16535673353394;-80.39327732543218;-2.6306621898187372
173;-68.18886643706723;-78.76457521068625;-2.6905390001678335
174;-69.24229788872212;-77.090005975782;-2.6462128294717324
175;-70.30841391518956;-75.49569888172665;-2.637484426190254
176;-71.29685838153641;-73.923950470414;-2.6909140283040696
177;-72.32234638868049;-72.31232359800985;-2.647128221894667
178;-73.39944198182134;-70.67888138737534;-2.528702406201032
179;-74.49489838521231;-69.02958128430889;-2.493353649799455
180;-75.46765281138197;-67.50234465528546;-2.633903812529495
