Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.1027697340519083;-1.1802296334628197;0.221373669709515
2;-0.22080814816282077;-2.3778548410307376;0.4559269127567003
3;-0.2706862912126323;-3.6361764742714064;0.6600215760386674
4;-0.28434753526965006;-5.118539396668387;0.8702904578087126
5;-0.3276435973040034;-6.6426589762886685;1.1088880006556046
6;-0.3983573251515738;-8.126238729825385;1.3915318435071824
7;-0.4132136878509818;-9.672041546327751;1.6519995013832858
8;-0.4331777775612303;-11.340322949830245;2.067947821183296
9;-0.5165463252033118;-12.996129913541566;2.526963249167964
10;-0.647318547216243;-14.673626538249163;3.0430080381254596
11;-0.8341978990293986;-16.452907232404787;3.5408361002697863
12;-0.9959314438238054;-18.29090346586704;3.944291021843367
13;-1.0930006717383531;-20.194752085735267;4.322599417446895
14;-1.1557292409747317;-22.088874686958306;4.744097963620947
15;-1.2845349471863163;-23.998464902001405;5.185824603613421
16;-1.4940604982753474;-25.949899743574928;5.668270600574389
17;-1.7210341485537142;-27.981103378118817;6.012581629746657
18;-1.8229145915747362;-30.057370240241596;6.2841099219358485
19;-1.917360000825319;-32.119952577289816;6.512833976891746
20;-2.127623375641668;-34.17224695807512;6.781796364309932
21;-2.3764341582233213;-36.36581940210179;7.137932213502214
22;-2.5985645237731134;-38.610549298126195;7.464741198328298
23;-2.7214941360695786;-40.71318111996641;7.692925565852444
24;-2.962424078241514;-42.90234175993976;7.770106180442437
25;-3.2232602395094907;-45.10394370134961;7.844039938038292
26;-3.4827195192797458;-47.414036796562726;8.032760204203157
27;-3.746160333125138;-49.718521234674995;8.192143282711664
28;-4.022744813380966;-51.98640911789414;8.190870945789204
29;-4.359938354247836;-54.30423529060005;8.212041041146874
30;-4.720431613727606;-56.60056174852615;8.24417252991316
31;-5.054094155151091;-58.96286860634886;8.310529065112924
32;-5.451974676742761;-61.28212848873422;8.273854538415039
33;-5.87113678873204;-63.557142455452166;8.12172789276443
34;-6.297117585519203;-65.8703317704769;8.01468194056326
35;-6.745067558677923;-68.1648183867905;7.960557997570735
36;-7.191571697586232;-70.42406200307842;7.849588677464278
37;-7.600134630814731;-72.67618773653001;7.603184400233217
38;-7.986226497552158;-74.8554272814869;7.309602955182242
39;-8.425477614508377;-77.03545543617834;7.108620725340057
40;-8.936494940094075;-79.15331215690148;6.847048735330864
41;-9.432645610297364;-81.2156004075091;6.545961470607715
42;-9.91069883288727;-83.2954886537284;6.3513238067665245
43;-10.420929899648266;-85.38454096436953;6.07131295817552
44;-10.896889380795788;-87.41452646723273;5.6582035230895915
45;-11.309589876399713;-89.39744413716866;5.150878015943187
46;-11.681954523166167;-91.35122888735228;4.6288677804719525
47;-12.127787101501875;-93.3216765569359;4.1761641859743905
48;-12.563303394275588;-95.2379516120123;3.7508612614448475
49;-12.920164716595012;-97.14247086996089;3.2871480791100245
50;-13.218329402477362;-99.06775930441745;2.6808087094885016
51;-13.557212811289412;-100.9123074975611;2.2066886552313774
52;-13.980295743909085;-102.7468121788305;1.6647643182123082
53;-14.30440385856242;-104.56655003918988;1.0690166702588582
54;-14.661193345924183;-106.3447233629087;0.4733947558520173
55;-14.982492212591353;-108.1002132563863;-0.07136435341972736
56;-15.262527355950041;-109.80567432254841;-0.5851502610492139
57;-15.490435902560701;-111.43194038259792;-1.1044898799245841
58;-15.812863255807601;-113.0791544849834;-1.7584664297608197
59;-16.1067075547073;-114.72751017134482;-2.3583575126631686
60;-16.359104843345953;-116.3529089945099;-2.90707115839134
61;-16.472096614328624;-118.04984943538787;-3.557975743888625
62;-16.474177390695207;-119.69162508617879;-4.218151202236621
63;-16.545721686097934;-121.29932087197292;-4.661947722407148
64;-16.740361326308783;-122.96216675919223;-4.996658149768129
65;-16.926122812412;-124.63090157446294;-5.350157797707583
66;-17.041205363957626;-126.23897533963462;-5.745386947733566
67;-17.17068911012599;-127.86569372658633;-6.125808033017628
68;-17.247853274629534;-129.41577360187242;-6.383368184078175
69;-17.36915891349402;-130.94862020211872;-6.596532104588612
70;-17.540625579114604;-132.4022599837927;-6.7614373108713
71;-17.724969927644402;-133.79567056294042;-6.908703045819972
72;-17.86462925854176;-135.17959582362653;-7.096464812832998
73;-18.020550689919546;-136.57998829326033;-7.227340345120689
74;-18.29542085639981;-137.9431731248726;-7.183689013285902
75;-18.52837681388698;-139.21800318428672;-7.130227196054079
76;-18.75873428776882;-140.4678733043163;-7.169388492996204
77;-18.95255039812468;-141.6729696585848;-7.204706763809935
78;-19.140651128119785;-142.86634305614248;-7.202067201826317
79;-19.300070220492803;-144.00711992688588;-7.208770726819317
80;-19.439592511870785;-145.10565658410275;-7.237646785056328
81;-19.615520288707156;-146.23860116864438;-7.261479978583558
82;-19.800894593366188;-147.33484727257138;-7.296240499795334
83;-19.929803446756313;-148.3938366086681;-7.3942884699008165
84;-20.07047701561449;-149.43906851469052;-7.466493659972619
85;-20.245913397887666;-150.37647470880995;-7.498686867336738
86;-20.46096398244072;-151.34176008104913;-7.456312305236344
87;-20.652178471530245;-152.2916181635697;-7.418835911509403
88;-20.78379274024833;-153.2171144886508;-7.441206909658696
89;-20.886615134967975;-154.204086039426;-7.512050398279504
90;-20.991343538201917;-155.11900960472806;-7.561686432429156
91;-21.088648233536432;-155.96263209993234;-7.595030684719308
92;-21.2063003238766;-156.8243927427339;-7.629355045865356
93;-21.391194150235634;-157.6760888412258;-7.666266217883859
94;-21.558394077238688;-158.47534455040983;-7.717192705357513
95;-21.68344446333576;-159.24525338156099;-7.765932242219778
96;-21.81469692325078;-160.06332127602775;-7.790991201664607
97;-21.91253559587014;-160.8269181640543;-7.787554594305309
98;-22.01080910030657;-161.6050435421708;-7.72240819608789
99;-22.12418669185503;-162.36678516817776;-7.680511254968403
100;-22.212808611246036;-163.1049617892068;-7.694964778828397
101;-22.243124990981286;-163.82060771710977;-7.744342957555899
102;-22.247276643985302;-164.5719370215735;-7.793547129917378
103;-22.32564161771252;-165.2833050517027;-7.750727745595746
104;-22.401939696906627;-165.98725707263685;-7.780028595847832
105;-22.4697490915485;-166.67032634161149;-7.789642256366031
106;-22.522964539829516;-167.348845955287;-7.815236747043159
107;-22.593281078204033;-168.03994911426994;-7.8563763926341315
108;-22.697622780442853;-168.75237943278884;-7.89432801277885
109;-22.781202123846928;-169.44621236034348;-7.899221760665231
110;-22.869398268083806;-170.09895707151313;-7.944603352122232
111;-22.98250003478194;-170.73878190861825;-7.921400890579906
112;-23.156713119236777;-171.39532849899533;-7.910311367331166
113;-23.3578584182898;-171.99621861780912;-7.949008424923055
114;-23.60151429819905;-172.52281563282054;-7.969388672844664
115;-23.850247810669867;-172.97815290331278;-7.987596311469395
116;-24.047182148408456;-173.40169625366525;-8.01953703743224
117;-24.321248152027422;-173.78634657343434;-8.041911709853526
118;-24.645130848029943;-174.12393426092626;-8.012300556035333
119;-24.999675106767064;-174.45627331335334;-7.970472015852
120;-25.368627904433488;-174.74332556544937;-7.965872146015674
121;-25.712163370268286;-174.93891979025014;-7.960337626407773
122;-26.05560174071823;-175.10807950074724;-7.982639123969194
123;-26.50232257505926;-175.26037610149422;-8.055988247740435
124;-27.004282984911793;-175.46311158206873;-8.05417915797062
125;-27.503497384180775;-175.65316499038775;-8.04976670588784
126;-27.988304846430026;-175.65436763899123;-8.00113139044734
127;-28.456731373441293;-175.74118822466326;-8.001202031955403
128;-28.994533278427365;-175.80984821843248;-8.041551660009278
129;-29.570965433172034;-175.80672706598668;-8.099966487853074
130;-30.17780990859479;-175.81680537353608;-8.103473318925369
131;-30.815724207678766;-175.79273237421967;-8.090049666690728
132;-31.435595132929187;-175.75371784540357;-8.020755013052929
133;-32.148331177015535;-175.59085890287076;-8.014087065945281
134;-32.865999975582014;-175.40006153049902;-8.067002510742416
135;-33.59891008402971;-175.13577021300586;-8.150180245045158
136;-34.34184170790235;-174.85806422572813;-8.187097999768788
137;-35.10481397599453;-174.55564382826196;-8.192050847166032
138;-35.9653664279316;-174.23473424454642;-8.238432339580196
139;-36.82318470595965;-173.8075825280688;-8.308648005097732
140;-37.744193961120615;-173.38864975783466;-8.235922156200296
141;-38.70115428171114;-172.90522264162627;-8.174905661094154
142;-39.631152567252386;-172.35031921072823;-8.208919047489129
143;-40.57740301835091;-171.70676982429205;-8.26641842976651
144;-41.54763001576018;-171.08108843110156;-8.32872808882643
145;-42.5192041138214;-170.43902080322414;-8.339458233466532
146;-43.554992923262645;-169.76206674943802;-8.315008615798575
147;-44.637453371879204;-169.00347980912767;-8.26043088711251
148;-45.63583710116513;-168.26062097412796;-8.243974678560821
149;-46.63820400499176;-167.40462665159788;-8.321506437764338
150;-47.68705418455319;-166.5867651121962;-8.35950014654456
151;-48.74458577540977;-165.77410884403542;-8.376376731810838
152;-49.71809306581574;-164.9259854299375;-8.40186139673696
153;-50.75489213247869;-164.00183531250184;-8.469558660977972
154;-51.74783006965414;-163.13433459326095;-8.490523422485865
155;-52.770970225094274;-162.24212896428216;-8.468288138419052
156;-53.77525574113618;-161.40994061696887;-8.510230105100867
157;-54.78447153315604;-160.44945542345587;-8.644411484064893
158;-55.816123950228274;-159.55633099964462;-8.728580630071592
159;-56.82450127228297;-158.67403110916172;-8.660215501566697
160;-57.803776976498774;-157.7836591810214;-8.552237931539734
161;-58.85303165263137;-156.9092403150115;-8.524947157447839
162;-59.87423370689058;-156.01165811883345;-8.56196632762709
