Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.11366568731155394;-0.12371949480693033;0.1660333102316057
2;-0.2306544947393549;-0.25037443319311986;0.32946508584482764
3;-0.34848032538156987;-0.36648222485532717;0.49052846824710866
4;-0.4660976834017078;-0.4793045506609855;0.6520059574724283
5;-0.5863770130365702;-0.5902422868429151;0.8146878662499683
6;-0.7037952186230969;-0.6981907851528915;0.9562340447311011
7;-0.8245191172155295;-0.7990712661988011;1.0928829802986881
8;-0.9540477069880672;-0.8879199497974128;1.2476083526064994
9;-1.0987295017086922;-0.9769677770053511;1.397617126204899
10;-1.2591501570764916;-1.063538904264627;1.556431408351031
11;-1.4265124900275146;-1.1362004421437746;1.7181222545585895
12;-1.6258245024907665;-1.2114814719091056;1.8960705577837966
13;-1.8298272085349527;-1.2845693722033749;2.0611252624175176
14;-2.0545337373844976;-1.3637407603492344;2.2193061602636592
15;-2.296100061844094;-1.420576229447889;2.3807404839341575
16;-2.5625711619440663;-1.4751685479790977;2.5532039044564425
17;-2.842862177721056;-1.530692211137234;2.7218900983676297
18;-3.148715587267909;-1.5947533095959978;2.8929485372932016
19;-3.4868734164974198;-1.6575259682070496;3.086927440036834
20;-3.863316955668986;-1.714634541405583;3.288648582161138
21;-4.264974401027581;-1.764418931728755;3.4747467269851278
22;-4.678693485654552;-1.7985783975389664;3.678864316669895
23;-5.129830341452264;-1.8310011060967801;3.921410942167466
24;-5.602915230689875;-1.8648911063236864;4.206633608234767
25;-6.117139301689747;-1.894835382134765;4.512041451160987
26;-6.657710970545452;-1.9203921568200004;4.7931081623528256
27;-7.217641518853733;-1.948742155656925;5.098044922381429
28;-7.822580468057703;-1.9569727220790694;5.426716575705865
29;-8.441965478055156;-1.9687041123398463;5.748554993375588
30;-9.099888481980381;-1.9758191694875147;6.055848343438184
31;-9.777822405974554;-1.9820051591547072;6.378768718301163
32;-10.486865747624245;-1.97097440980218;6.730405353515305
33;-11.253791924296113;-1.966948442027115;7.101667453067933
34;-12.046928749328357;-1.9537377682095136;7.443079201716547
35;-12.873352367335903;-1.9442731089051581;7.776941767083984
36;-13.749406253529662;-1.9322965634022187;8.154089581674222
37;-14.642531620130379;-1.919456802588144;8.538350190135292
38;-15.571875587824556;-1.9123055602151366;8.908359331294413
39;-16.542182000659356;-1.8860738571807858;9.297858384175699
40;-17.539640868469743;-1.880024284308296;9.70730653045739
41;-18.58988402658985;-1.8633543309507692;10.096355169418178
42;-19.676256704837307;-1.8397469320605027;10.505799091962944
43;-20.792442890822535;-1.8052099432332918;10.934155153253595
44;-21.938397390852;-1.7859640035466042;11.383658771485225
45;-23.1248987996286;-1.7575570860332679;11.840408757617745
46;-24.328653150322193;-1.7329013586587207;12.285095689056872
47;-25.571370336173064;-1.709894565185384;12.728779556624415
48;-26.865862072521697;-1.6914162383198716;13.18409869318499
49;-28.175459275017335;-1.6649543773574944;13.615162258573402
50;-29.508933923952373;-1.6511986218344252;14.03194229392062
51;-30.885952037815258;-1.6397249365886057;14.462013810642445
52;-32.282480916523156;-1.6184826437370672;14.879519189376682
53;-33.73374417237328;-1.5981217023577672;15.329861278685915
54;-35.19227830749506;-1.584390270670072;15.76194429086696
55;-36.69296634440887;-1.5584789842408941;16.16680486259045
56;-38.19579452171769;-1.5401366595157138;16.569735616248327
57;-39.73975098228394;-1.5227476635929194;16.989149173167405
58;-41.303381049551504;-1.5103294917537395;17.388581034662693
59;-42.880761423416594;-1.4956273165399585;17.793623745640588
60;-44.46765329528901;-1.4958813126564576;18.187839276398385
61;-46.063108340869356;-1.5140754957570877;18.566677214658483
62;-47.68212020930426;-1.5382667815973807;18.916474242056413
63;-49.319682159639214;-1.5668286980230959;19.275886173298588
64;-50.965046727441774;-1.5793177914899001;19.617049078495373
65;-52.63803594537336;-1.5973829043732946;19.927062065620568
66;-54.31364902093541;-1.6174655004431395;20.247323480328284
67;-56.01335328242866;-1.640297037296441;20.536680685476103
68;-57.74869691842763;-1.657283793201779;20.829762616182553
69;-59.488839277953964;-1.6722749971744892;21.11353131788215
70;-61.234443450852446;-1.6893823720038492;21.390192826098595
71;-62.991728715997276;-1.6964911370778144;21.603173502030618
72;-64.75523571323453;-1.7119054722374303;21.840316151746862
73;-66.54892978307849;-1.7157878125064892;22.062771276831395
74;-68.33555253955728;-1.7217199384813535;22.246880411821845
75;-70.14885197395517;-1.7181005986381366;22.417351996426444
76;-71.95824311455777;-1.7213680519121457;22.594604297099178
77;-73.7693398400129;-1.7199691889258022;22.72790852583039
78;-75.59356013049876;-1.714778228806932;22.868255540162778
79;-77.40258907556121;-1.7175010639478345;23.002277718496565
80;-79.21558653251229;-1.7237826568947925;23.123224965721292
81;-81.02876085901602;-1.7128455305807018;23.22935214902099
82;-82.8305882112335;-1.720369926215927;23.321450590275536
83;-84.63720508863456;-1.7252926700643312;23.43373493655343
84;-86.41547013403617;-1.7407770841768266;23.508219835449793
85;-88.19504477234302;-1.7575068499607271;23.570506971382585
86;-89.98150242436279;-1.7634417963683713;23.598451089847114
87;-91.73956737947911;-1.7642247963435356;23.632325037075944
88;-93.48757804075287;-1.7893906593917608;23.67785481402771
89;-95.22010533439085;-1.785620670272147;23.676940582895107
90;-96.9432685460768;-1.7995624876740717;23.668054110729354
91;-98.63941742420005;-1.8278436396666795;23.654318573641177
92;-100.33689027000217;-1.8323474339164656;23.64275316471504
93;-102.03498280086414;-1.850549100810798;23.654950944530498
94;-103.7032350143064;-1.8634134767526225;23.648304320551574
95;-105.33970616522778;-1.8738622674189147;23.61376178445279
96;-106.96293763091208;-1.8863015830620256;23.577540927630054
97;-108.56958123135982;-1.9060804401921405;23.52379436242463
98;-110.15920613787362;-1.92091797696782;23.474297614174226
99;-111.73763943851533;-1.9313385260015254;23.42599185534023
100;-113.3158125115263;-1.9382218640480229;23.369121205842337
101;-114.87921636628397;-1.9280130760989524;23.31055569838249
102;-116.42554040994226;-1.9245058049662278;23.27579259204182
103;-117.94810323340754;-1.936826596198046;23.22166356525518
104;-119.46462692187482;-1.9395023350898495;23.151024914325994
105;-120.95664297819611;-1.9335258840108493;23.072239038707288
106;-122.43740994030371;-1.9139590173049053;23.00857666897852
107;-123.92914303223178;-1.8931848080346965;22.96462572241748
108;-125.40766305512079;-1.8706817803438338;22.910799945370925
109;-126.89467181903434;-1.8468213498116883;22.857927646494822
110;-128.38065027886628;-1.809545425375556;22.814231430448217
111;-129.84640517927735;-1.7677734154845877;22.79139820030162
112;-131.3015446700413;-1.7493444214790235;22.786336508022217
113;-132.76987563005608;-1.7104791482350792;22.74828586346423
114;-134.25124690013536;-1.6671952033185615;22.70103553080101
115;-135.71745459441024;-1.6156508945991788;22.666637259976884
116;-137.17512400852098;-1.5572081142936067;22.624297582675315
117;-138.61768414812957;-1.497953762083799;22.597530333555486
118;-140.06829471163053;-1.432248649303516;22.56339229220166
119;-141.53322897156147;-1.3694146451907458;22.531082252127064
120;-142.98834220559857;-1.300344028830196;22.485422182169984
121;-144.45201994788195;-1.2378495831401355;22.441412762995032
122;-145.92581174198924;-1.1816032635515474;22.39543964927469
123;-147.3786376773589;-1.1242917774638774;22.33864219016075
124;-148.8250275435008;-1.0676278309293583;22.276827198991153
125;-150.25976423986535;-1.008229190217769;22.17690313455915
126;-151.68953092353735;-0.9515926096730398;22.06611769279391
127;-153.12554543743576;-0.8887349342664105;22.00680465922885
128;-154.56729009360748;-0.817848550183591;21.957241366554516
129;-156.00424873725146;-0.762989921889657;21.9082714982434
130;-157.43084385683468;-0.7283464917670278;21.826329287108564
131;-158.86713559747366;-0.6764216659074707;21.72915621768286
132;-160.299953005152;-0.6276162107390886;21.66215119205138
133;-161.72145433703275;-0.5755442311531012;21.60060268856444
134;-163.13936096598624;-0.5312917624384683;21.53517778420996
