Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.2896770824198765;-0.2522142658158429;0.29722211228823553
2;-0.5832517121224108;-0.5403568249030153;0.6275651740429998
3;-0.8959677288374499;-0.8818495149814811;0.9906164171019213
4;-1.2263733857374761;-1.2669101277509616;1.3910188873133702
5;-1.5773239481044519;-1.7007545565663498;1.8094871330378763
6;-1.9508701045185304;-2.1999449714828;2.2325543019406155
7;-2.328379269312586;-2.742877285185612;2.6511997717103637
8;-2.7107842245453613;-3.3317962069372373;3.074288047084674
9;-3.1010988459255535;-3.959161358644031;3.507500356338986
10;-3.5011749129304977;-4.638440949318745;3.9504514061121943
11;-3.934532186470277;-5.3750326000334585;4.413724241916408
12;-4.37660814556487;-6.154081016046777;4.887359688642209
13;-4.8411033819415366;-6.978273984557655;5.381698376173872
14;-5.304496165723287;-7.825390257063194;5.851705860465297
15;-5.762283465944541;-8.701404344595815;6.32081933929141
16;-6.2443123308036865;-9.58716717527112;6.766116005479513
17;-6.7333592042818555;-10.47521586395794;7.1936866119333445
18;-7.233599170316019;-11.363885643504904;7.632141243105927
19;-7.741215042807567;-12.256665115877977;8.083298533441111
20;-8.277117339915836;-13.131956923443955;8.52032798677899
21;-8.832161748075114;-13.98988256524452;8.919205810302024
22;-9.39888914809677;-14.815756722685876;9.284881289205806
23;-10.0016405073995;-15.63771735155841;9.661394420928668
24;-10.614424725559212;-16.44144184906347;10.039626119867355
25;-11.242674582374084;-17.22493168636251;10.412049098071062
26;-11.919793731711069;-17.995435890566803;10.82671932251768
27;-12.625220751579551;-18.758493006893318;11.26240040690777
28;-13.36072615667096;-19.528904853406978;11.70304175680977
29;-14.114686270785695;-20.304126676125755;12.145977644862676
30;-14.901452929890782;-21.07806182332754;12.58776161324337
31;-15.717584384645882;-21.845630352633002;13.028959731188937
32;-16.553708950299743;-22.593398144364535;13.464018711053377
33;-17.41374276546242;-23.35523980732651;13.936281072240819
34;-18.290699270806574;-24.116722380318496;14.41994243326794
35;-19.225607834243398;-24.871635032856123;14.921263269771865
36;-20.181754462717727;-25.63270555874268;15.4323065008054
37;-21.175679901517977;-26.401802936267146;15.967958695584958
38;-22.206947077771524;-27.189719494687715;16.522852940000455
39;-23.285712589876432;-27.994442980945525;17.09353933193
40;-24.42099518319114;-28.827833974576958;17.702869317750718
41;-25.60637205947895;-29.670340136589832;18.310122426745483
42;-26.85042494805461;-30.522321852649725;18.911240241571996
43;-28.133602569704905;-31.388508071908905;19.53428257009723
44;-29.470743968152274;-32.27850716046442;20.16597489428268
45;-30.88036541873207;-33.2030118174589;20.815370746849847
46;-32.34882190596632;-34.142994442326334;21.46510242372084
47;-33.87356135788066;-35.112208450082846;22.12877595558069
