Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;801.08252;492.953247;165.169144;910.324707;571.25885;136.801956;904.056458;468.299225;141.631393;1040.329712;793.203064;289.638275;;;
2;805.310242;493.607056;172.776001;912.461121;573.46759;141.165405;907.962891;470.988098;148.832687;1040.957886;794.577942;289.827576;;;
3;809.502075;494.420776;179.747269;914.716309;575.569214;145.577408;912.278015;473.043518;155.517517;1041.278564;795.730652;290.501862;;;
4;812.936218;495.79306;187.534988;916.25531;577.383118;149.961716;915.948914;475.238892;162.903473;1041.99353;796.590332;290.95752;;;
5;816.512024;497.436005;194.959732;918.081299;579.399231;154.577637;919.39801;477.483154;169.772522;1043.265869;797.927185;290.927429;;;
6;819.905701;499.371307;201.764236;920.079102;581.870911;158.747711;921.839905;479.847351;175.781509;1044.317627;799.056702;291.371979;;;
7;822.811401;501.044891;208.384659;921.734314;584.290955;163.037872;924.847839;482.672791;181.980927;1044.776978;799.787354;291.866547;;;
8;825.471802;502.790497;214.530319;923.320801;586.267029;167.846603;928.281128;485.465271;188.187149;1045.173218;800.678955;292.144165;;;
9;828.081848;505.492279;221.464386;925.033386;588.836914;172.079407;930.37561;488.216553;194.198654;1045.961426;801.950684;292.446503;;;
10;829.857666;508.324524;228.164627;926.67041;591.825623;175.749374;933.043396;491.043854;199.881912;1046.940552;802.955933;292.609528;;;
11;832.115356;511.305817;234.227783;927.193237;593.982849;180.510422;935.228577;494.218292;205.167633;1047.871826;803.467041;293.134125;;;
12;833.647095;514.075134;240.104309;928.115784;596.919922;183.974945;936.948914;497.805817;210.764297;1048.58252;804.156067;293.519257;;;
13;835.805115;517.330078;246.400177;929.389526;599.458496;188.431915;;;;1049.373047;805.27655;293.631927;1006.790527;806.054749;145.431549
14;836.862732;520.542908;251.842056;929.830078;602.740479;191.831253;;;;1050.416016;806.245178;293.504913;1008.842896;807.690613;145.584808
15;838.418701;523.965088;257.514893;930.447205;605.999451;195.099396;;;;1051.158936;806.907654;293.703125;1010.327332;809.233826;146.382614
16;839.755981;527.357178;262.433167;930.902832;608.937195;198.636963;942.404968;510.916718;231.975433;1051.632813;807.441528;294.373932;1011.333923;810.880188;147.587311
17;841.059204;530.881653;267.278992;931.32373;611.796936;202.260712;943.199158;514.822632;236.055374;1052.382202;807.991699;294.972198;1012.657166;812.514282;148.194992
18;841.697327;534.512512;271.673096;931.474243;614.795898;205.363724;;;;1053.262939;808.953796;295.466858;1014.371033;813.788574;148.947891
19;842.08075;538.371704;275.864075;931.322266;618.391235;208.227661;942.633057;522.667847;244.164658;1053.946411;809.871399;295.450531;1015.51001;815.415466;149.74202
20;842.425781;542.453186;280.579559;932.550049;620.665588;210.180313;;;;1054.510864;810.327393;295.55481;1016.528198;816.924133;150.626053
21;842.260376;546.944031;284.602203;932.859497;623.78186;212.454666;;;;1054.912354;810.688477;295.807983;;;
22;841.514709;551.328918;288.58551;931.399231;627.498596;215.31636;;;;1055.521484;811.196655;296.590881;;;
23;841.092773;556.080078;292.096832;929.913757;631.288147;217.566238;;;;1056.775024;811.780212;296.854889;;;
24;840.40741;561.051453;294.764069;929.158875;634.282166;219.899338;;;;1057.959961;812.442627;296.437195;;;
25;839.468018;566.040405;297.174133;929.72998;636.970642;221.278412;938.172974;544.271057;265.387787;1058.734131;812.958191;296.181702;;;
26;838.283875;571.001953;299.643463;929.169312;640.146545;222.467453;935.891174;547.782104;266.816284;1059.349731;813.493042;296.616943;;;
27;836.118591;575.931091;302.114716;927.270203;643.595886;224.493011;934.265076;550.928345;266.793579;1060.196777;813.857361;297.406647;;;
28;833.867371;580.492432;303.499359;926.671631;646.581421;225.114166;;;;1061.329102;814.255371;297.375732;;;
29;831.810791;584.964844;304.971924;925.700317;649.674438;225.99707;;;;1062.393799;814.809082;297.334991;;;
30;829.436279;589.139343;305.690125;924.307068;652.407043;226.462677;;;;1063.041138;815.224548;297.402344;;;
31;826.934143;593.734009;305.783356;922.833252;655.302429;227.313614;;;;1063.482666;815.945129;297.861908;;;
32;824.002136;597.724915;306.08728;921.399536;657.424683;227.334473;;;;1064.369507;816.626587;297.943542;;;
33;821.050293;601.740356;305.661987;919.290527;662.987061;229.810776;918.238831;563.546143;263.172211;1065.734009;817.017578;298.060394;;;
34;818.349548;605.406677;305.061493;916.768616;667.50708;230.873871;915.382202;566.24884;262.857849;1066.950073;817.31842;298.316345;;;
35;815.790833;609.225952;303.388275;914.460022;671.016357;230.645874;912.834167;569.155396;261.847717;1067.96106;817.657349;298.345367;;;
36;813.028625;613.131958;301.511993;912.462952;674.386597;229.699646;909.838928;572.471069;260.050995;1069.116089;818.060059;297.683228;;;
37;809.968445;616.889343;300.210114;910.522095;677.621521;228.640411;906.557068;576.143127;258.364227;1070.047363;818.327209;297.494293;;;
38;806.671204;620.659119;297.930878;908.342896;681.14563;227.511536;903.445862;579.513672;256.643951;1070.685425;818.579895;297.81366;;;
39;803.929871;624.684875;295.872314;906.549561;684.628235;226.2789;900.738159;582.43811;254.515594;;;;;;
40;801.343628;628.776245;293.609436;904.304626;687.668518;224.669586;;;;;;;;;
41;798.199707;632.859497;291.248596;901.425842;691.209167;223.306168;895.322815;589.12384;249.907822;;;;;;
42;794.232605;636.636658;288.159393;899.743835;694.696594;221.032135;891.852539;592.657227;246.400864;;;;;;
43;791.449646;640.419678;284.730774;897.392761;697.977783;218.89679;888.893127;595.548218;242.827225;;;;;;
44;788.180298;644.320313;280.912811;895.121765;701.317566;217.331985;1049.68396;844.550293;153.364059;;;;;;
45;784.555481;647.896545;275.867462;893.581909;704.181396;214.598251;1050.874023;846.036804;153.203156;;;;;;
46;781.236572;650.650391;270.921143;891.983704;707.078186;211.436569;1051.911255;846.783325;152.653595;;;;;;
47;778.009216;653.172974;265.791107;889.867126;710.180969;208.653107;1052.699707;847.472473;152.125778;;;;;;
48;774.587219;656.178894;260.095886;887.592896;713.26239;206.021774;1053.581909;848.015137;151.573212;;;;;;
49;771.280762;658.980286;254.873245;886.108704;716.027527;202.691147;1054.681641;848.669861;150.971024;;;;;;
50;768.645935;661.883972;249.103088;884.544006;718.411865;199.712845;1055.60437;849.368042;150.34938;;;;;;
51;765.773987;665.321411;243.767395;882.503235;720.917664;196.9617;1056.086304;849.917175;149.551804;;;;;;
52;763.137085;667.966736;238.390427;880.753845;723.744507;193.629211;1056.504761;850.526245;148.657104;;;;;;
53;760.60791;670.946899;233.30423;879.484741;725.764771;190.021347;1057.239868;850.982422;147.671066;;;;;;
54;758.595215;673.965576;228.40921;878.023621;727.572021;187.397339;1057.87793;851.721802;147.180054;;;;;;
55;756.455933;676.530884;223.48111;876.509949;729.968872;183.547058;1058.255859;852.579773;146.679245;;;;;;
56;754.796631;679.154175;218.296127;875.01593;732.344666;180.039474;1058.400513;853.367371;146.042236;;;;;;
57;752.74762;681.757141;213.594284;874.355896;734.256714;176.306976;1058.451416;853.989136;145.26062;;;;;;
58;751.788269;683.717102;209.017792;873.038757;735.904236;173.270996;1058.572632;854.332947;144.638397;;;;;;
59;750.050354;686.454529;204.412918;872.383789;737.574951;170.004578;1058.885376;854.748291;143.859314;;;;;;
60;748.690735;688.13623;200.100006;871.553589;739.217468;167.139786;1059.241699;855.189758;143.253693;;;;;;
61;747.653198;690.3797;195.55867;870.179321;741.059631;163.919708;1059.382202;855.81781;142.76149;;;;;;
62;746.749634;691.80658;192.011261;869.974182;742.479736;161.255539;1059.298584;856.450012;142.336273;;;;;;
