Kreis72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:53:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;847.751770;474.553284;29.000637;1055.779175;614.105408;175.446426;791.292725;520.761353;30.022263;924.025146;523.806885;57.837109;1103.504517;595.959656;334.495422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;847.791687;474.556519;28.894445;1055.989990;614.078186;175.522324;791.318237;520.744141;30.082134;924.066040;523.918030;57.788380;1103.615112;595.896118;334.471924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;847.743713;474.486755;29.019413;1056.041016;614.094055;175.511124;791.245239;520.847534;30.220201;924.029419;523.957214;57.758026;1103.754639;595.989014;334.478516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;847.735901;474.521240;28.996664;1055.997803;614.196228;175.491241;791.245300;520.862366;30.374662;924.102173;523.915955;57.763432;1103.786377;596.019104;334.474121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;847.787354;474.540771;28.913914;1056.007324;614.222290;175.456467;791.270508;520.923523;30.352970;924.077209;523.924683;57.820877;1103.696899;596.109070;334.467072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;847.771118;474.561218;28.969242;1056.180176;614.158325;175.272537;791.278625;520.854187;30.325968;924.048950;523.925476;57.850281;1103.601196;596.180603;334.451080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;847.751343;474.556274;29.003292;1056.383667;614.139954;175.272751;791.274292;520.761230;30.070126;924.082703;523.906677;57.830799;1103.681152;596.296814;334.488403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;847.741760;474.544983;29.041454;1055.960571;614.291687;175.388657;791.328003;520.737549;30.040569;924.109985;523.897400;57.769196;1103.806519;596.312134;334.445160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;847.745300;474.547577;29.014872;1055.283081;614.594543;175.773911;791.329407;520.839050;30.289913;924.117737;523.914307;57.795521;1103.857666;596.385559;334.417603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
