Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;814.810852;475.555511;28.048595;754.363403;532.055359;29.665283;1101.272217;575.435364;344.558319;886.981323;533.065247;55.610813;1025.836182;596.832397;184.81012
2;815.303101;475.592285;27.46784;754.267578;531.934814;29.580503;1101.400879;576.568359;344.270599;887.015564;533.056641;55.539375;1025.874146;597.343384;184.569183
3;814.978333;475.65332;27.870901;754.33252;532.035706;29.670794;1100.976563;577.152283;344.096039;887.004761;533.069946;55.576328;1025.781494;598.321045;184.517426
4;814.891724;475.616943;28.197876;754.378174;532.049683;29.714264;1100.630493;578.370544;343.719788;887.009399;533.1604;55.579521;1025.58728;599.419434;184.386017
5;814.908569;475.557434;28.23815;754.418701;532.049133;29.724119;1100.438843;579.703186;343.361969;887.074219;533.194641;55.538647;1025.703003;599.189758;183.863602
6;814.956116;475.569519;28.189034;754.413147;532.132629;29.697933;1100.243164;580.710327;342.964172;887.138;533.192566;55.602154;1025.5;600.053284;183.394104
7;814.943726;475.56778;28.178997;754.451721;532.166687;29.63353;1100.480713;581.285217;342.851074;887.116028;533.287964;55.552242;1025.052002;601.194092;183.290024
8;814.998108;475.588684;28.129013;754.522156;532.197327;29.690617;1100.350586;582.531311;342.9888;887.159119;533.305542;55.570911;1024.925415;601.893799;183.522003
9;814.98053;475.672546;28.108423;754.519897;532.270996;29.656082;1100.42749;583.624146;342.760223;887.249573;533.397278;55.525684;1024.727295;602.432983;183.508728
10;814.970398;475.690399;28.109058;754.575989;532.280334;29.67951;1100.299194;584.455994;342.674805;887.286194;533.428162;55.485081;1024.499878;603.039978;183.419189
11;814.961243;475.719849;28.176083;754.594299;532.354675;29.675177;1099.985718;585.284607;342.671143;887.31134;533.517212;55.45034;1024.134399;603.737732;183.388596
12;815.00116;475.694672;28.157818;754.621216;532.378418;29.602543;1099.744019;586.375977;342.73703;887.340454;533.544495;55.590721;1024.592773;604.559265;183.31015
13;815.018738;475.728882;28.128506;754.630371;532.401428;29.629353;1099.411743;587.711853;342.890625;887.344116;533.618042;55.625309;1025.365356;605.011475;182.923798
14;815.01709;475.721619;28.129993;754.670715;532.371643;29.630405;1099.435913;588.387817;342.907684;887.349243;533.638306;55.607288;1026.144165;605.263062;182.152985
15;815.059265;475.702637;28.123152;754.696716;532.384399;29.655369;1099.404419;587.981628;343.09256;887.373657;533.731079;55.554699;1026.39563;605.632324;181.748428
16;815.014404;475.739349;28.152067;754.633118;532.377014;29.650574;1099.401611;589.590881;343.023865;887.392334;533.758911;55.52663;1026.260498;606.070679;181.79216
17;814.971863;475.718445;28.154455;754.633179;532.394226;29.661192;1098.985596;591.242676;343.111908;887.393982;533.754089;55.526253;1025.877441;606.680176;181.986633
18;814.947083;475.73468;28.15402;754.597351;532.380493;29.685596;1098.151489;592.381042;343.068634;887.35675;533.757751;55.558132;1025.628784;607.226196;181.996262
19;814.943298;475.738373;28.107489;754.586914;532.372437;29.673536;1097.574097;591.634644;342.756805;887.362305;533.753357;55.593906;1025.278809;607.878052;181.7939
